-3.46666666666667,-0.108333333333333
-3.45666666666667,-0.108333333333333
-3.44666666666667,-0.108333333333333
-3.43666666666667,-0.108333333333333
-3.42666666666667,-0.108333333333333
-3.41666666666667,-0.108333333333333
-3.40666666666667,-0.108333333333333
-3.39666666666667,-0.108333333333333
-3.38666666666667,-0.108333333333333
-3.37666666666667,-0.108333333333333
-3.36666666666667,-0.108333333333333
-3.35666666666667,-0.108333333333333
-3.34666666666667,-0.108333333333333
-3.33666666666667,-0.108333333333333
-3.32666666666667,-0.108333333333333
-3.31666666666667,-0.108333333333333
-3.30666666666667,-0.108333333333333
-3.29666666666667,-0.108333333333333
-3.28666666666667,-0.108333333333333
-3.27666666666667,-0.108333333333333
-3.26666666666667,-0.108333333333333
-3.25666666666667,-0.108333333333333
-3.24666666666667,-0.108333333333333
-3.23666666666667,-0.108333333333333
-3.22666666666667,-0.108333333333333
-3.21666666666667,-0.108333333333333
-3.20666666666667,-0.108333333333333
-3.19666666666667,-0.108333333333333
-3.18666666666667,-0.108333333333333
-3.17666666666667,-0.108333333333333
-3.16666666666667,-0.108333333333333
-3.15666666666667,-0.108333333333333
-3.14005181518905,-0.107946483825695
-3.13010478190397,-0.107785941497406
-3.12016005153733,-0.107518391598284
-3.11021877521514,-0.107143865097862
-3.1002821036636,-0.106662405348466
-3.09035118707587,-0.106074068080199
-3.08042717497899,-0.105378921394488
-3.07051121610077,-0.104577045756201
-3.06060445823687,-0.103668533984336
-3.05070804811787,-0.102653491241274
-3.0408231312766,-0.101532035020609
-3.03095085191551,-0.100304295133543
-3.02109235277424,-0.0989704136938672
-3.01124877499731,-0.0975305451015041
-3.00142125800209,-0.0959848560246415
-2.99161093934686,-0.0943335253804373
-2.98181895459915,-0.0925767443143105
-2.97204643720431,-0.0907147161778147
-2.96229451835427,-0.0887476565051006
-2.95256432685667,-0.0866757929879672
-2.94285698900412,-0.0844993654495056
-2.9331736284439,-0.0822186258163388
-2.92351536604782,-0.0798338380894613
-2.91388331978257,-0.0773452783136799
-2.90427860458021,-0.0747532345456611
-2.89470233220921,-0.0720580068205874
-2.88515561114568,-0.0692599071174278
-2.87563954644511,-0.0663592593228259
-2.86615523961446,-0.0633563991936086
-2.85670378848461,-0.0602516743179214
-2.84728628708333,-0.0570454440749951
-2.83790382550864,-0.0537380795935459
-2.82855748980261,-0.0503299637088173
-2.81924836182564,-0.0468214909182648
-2.80997751913126,-0.043213067335893
-2.8007460348414,-0.0395051106452464
-2.79155497752214,-0.0356980500510619
-2.78240541106006,-0.0317923262295862
-2.77329839453907,-0.0277883912775684
-2.76423498211781,-0.0236867086599271
-2.75521622290767,-0.0194877531561042
-2.74624316085129,-0.0151920108051076
-2.7373168346018,-0.0107999788492512
-2.72843827740251,-0.00631216567659791
-2.71960851696738,-0.00172909076211193
-2.710828575362,0.00294871539247055
-2.70209946888534,0.0077207113200488
-2.69342220795207,0.0125863446508337
-2.68479779697563,0.0175450521762856
-2.67622723425192,0.0225962599143075
-2.66771151184381,0.0277393831756843
-2.65925161546627,0.0329738266317623
-2.65084852437225,0.0382989843833595
-2.6425032112394,0.0437142400309002
-2.63421664205738,0.0492189667457655
-2.62598977601615,0.0548125273428481
-2.61782356539485,0.0604942743543099
-2.60971895545164,0.0662635501045269
-2.60167688431423,0.0721196867862172
-2.59369828287136,0.0780620065377409
-2.58578407466494,0.0840898215215653
-2.57793517578327,0.0902024340038819
-2.57015249475491,0.0963991364353717
-2.56243693244355,0.102679211533106
-2.55478938194374,0.109041932363573
-2.54721072847748,0.115486562426823
-2.53970184929182,0.122012355741717
-2.53226361355722,0.128618556932282
-2.52489688226703,0.13530440131514
-2.51760250813778,0.142069114988028
-2.51038133551048,0.148911914919375
-2.50323420025291,0.155832009038942
-2.49616192966284,0.162828596329506
-2.48916534237228,0.169900866919577
-2.48224524825271,0.177048002177147
-2.47540244832136,0.184269174804443
-2.46863773464847,0.191563548933696
-2.46195189026562,0.198930280223886
-2.45534568907505,0.206368515958483
-2.44881989576016,0.21387739514415
-2.44237526569691,0.221456048610402
-2.43601254486644,0.229103599110216
-2.4297324697687,0.236819161421576
-2.42353576733722,0.244601842449939
-2.4174231548549,0.252450741331609
-2.41139533987108,0.260364949538021
-2.40545302011955,0.2683435509809
-2.39959688343786,0.276385622118302
-2.39382760768764,0.284490232061515
-2.38814586067618,0.292656442682813
-2.3825523000791,0.300883308724048
-2.37704757336423,0.309169877906063
-2.37163231771669,0.31751519103892
-2.3663071599651,0.325918282132932
-2.36107271650902,0.334378178510476
-2.35592959324764,0.342893900918584
-2.35087838550962,0.351464463642292
-2.34591967798417,0.360088874618741
-2.34105404465338,0.368766135552009
-2.3362820487258,0.377495242028668
-2.33160424257122,0.386275183634044
-2.32702116765674,0.395104944069179
-2.32253335448408,0.403983501268466
-2.31814132252823,0.412909827517959
-2.31384558017723,0.421882889574332
-2.30964662467341,0.430901648784478
-2.30554494205577,0.439965061205735
-2.30154100710375,0.44907207772673
-2.29763528328227,0.45822164418881
-2.29382822268809,0.467412701508067
-2.29012026599744,0.476644185797928
-2.28651184241507,0.485915028492303
-2.28300336962452,0.495224156469274
-2.27959525373979,0.50457049217531
-2.27628788925834,0.513952953749999
-2.27308165901541,0.523370455151273
-2.26997693413972,0.532821906281124
-2.26697407401051,0.54230621311178
-2.26407342621591,0.551822277812344
-2.26127532651275,0.561368998875874
-2.25858009878767,0.570945271246878
